チャンネルグループ,Title
は～わ行,ファミリー劇場
あ行,映画・チャンネルNECO
さ行,時代劇専門チャンネル
な行,日本映画専門チャンネル
さ行,"スーパー！ ドラマTV"
さ行,"女性チャンネル♪LaLa TV"
は～わ行,ムービープラス
A～F,"AXN  海外ドラマ"
は～わ行,ホームドラマチャンネル　韓流・時代劇・国内ドラマ
あ行,アジアドラマチックTV
さ行,シネフィルWOWOW
た行,チャンネル銀河　歴史ドラマ・サスペンス・日本のうた
A～F,DATV
A～F,"AXN  ミステリー"
A～F,FOX
A～F,FOXムービー
さ行,スカイA
G～Z,"GAORA SPORTS"
な行,日テレジータス
G～Z,"J SPORTS 1"
G～Z,"J SPORTS 2"
G～Z,"J SPORTS 3"
か行,ゴルフネットワーク
さ行,スポーツライブ＋
G～Z,MTV
か行,歌謡ポップスチャンネル
は～わ行,ミュージック・エア
あ行,"MUSIC ON! TV（エムオン!）"
さ行,スペースシャワーTV
か行,キッズステーション
あ行,アニマックス
た行,ディズニーチャンネル
た行,ディズニーJr
か行,カートゥーンネットワーク
た行,"テレ朝チャンネル1 ドラマ・バラエティ・アニメ"
た行,テレ朝チャンネル2　ニュース・情報・スポーツ
は～わ行,"フジテレビONE スポーツ・バラエティ"
は～わ行,"フジテレビTWO ドラマ・アニメ"
G～Z,TBSチャンネル1　最新ドラマ・音楽・映画
G～Z,TBSチャンネル2　名作ドラマ・スポーツ・アニメ
な行,日テレプラス　ドラマ・アニメ・音楽ライブ
な行,日経CNBC
な行,日テレNEWS２４
A～F,CNNj
G～Z,"TBS NEWS"
あ行,お天気情報チャンネル
G～Z,"MONDO TV"
た行,旅チャンネル
あ行,囲碁・将棋チャンネル
た行,ディスカバリーチャンネル
は～わ行,ヒストリーチャンネル
あ行,アニマルプラネット
た行,釣りビジョン
あ行,エンタメ～テレ☆シネドラバラエティ
な行,ナショナルジオグラフィック
な行,ナショジオワイルド
は～わ行,寄席チャンネル
た行,"ダンスチャンネル by エンタメ～テレ"
さ行,ショップチャンネル
さ行,ジャパネットチャンネルDX
さ行,ジュエリー☆GSTV
G～Z,QVC
G～Z,ZTVコミュニティチャンネル
G～Z,MCTVコミュニティチャンネル(第1)
G～Z,MCTVコミュニティチャンネル(第2)
あ行,伊賀タウン情報(7ch)
か行,行政チャンネル
G～Z,"NHK BS1"
G～Z,"NHK BSプレミアム"
A～F,BS日テレ
A～F,BS朝日
A～F,BS-TBS
A～F,BSテレ東
A～F,BSフジ
A～F,BS11(イレブン)
A～F,BS12(トゥエルビ)
た行,ディズニーXD
