no,head,pno,cate,from,prize,hm,etc,url,churl,prizetxt,chtxt,img,chimg,primg,main,sub
1,p,p01,,ケーブルコモンネット三重,パナソニック 4Kビエラ（５５型）,1,,https://www.com-mie.jp/,,映像のシーンを判別し自動で最適な画質に調整(オートAI画質)、上下左右から音に包まれる立体音響技術「Dolby Atmos®（ドルビーアトモス）」対応。,ケーブルコモンネット三重グループ（ZTV・伊賀上野ケーブルテレビ・アドバンスコープ・松阪ケーブルテレビ）のテレビ加入者の方に向けたコミュニティ番組制作や、野球観戦ツアーなどのイベント、プレゼント企画を運営しています。,001.jpg,ch001.png,pr001.png,,
2,p,p02,,フジテレビONE・TWO・NEXT,Nintendo Switch,2,,https://otn.fujitv.co.jp/,https://otn.fujitv.co.jp/b_hp/100000017.html,"いつでも、どこでも、誰とでも。「Nintendo Switch」は、プレイシーンにあわせてカタチを変えるゲーム機。
自由なプレイスタイルでゲームを楽しむことができます。",フジテレビＯＮＥは東京ヤクルト主催試合、「プロ野球ニュース」、話題のオリジナルバラエティも満載！フジテレビTWOは埼玉西武主催全試合を完全生中継！フジテレビドラマ、ワンピースなどたっぷり放送！フジテレビNEXTはF1！サッカー！バスケ！音楽ライブ&フェス！ライブ感たっぷりプレミアムチャンネル！,002.jpg,ch002.png,pr002.png,,
3,p,p03,,旅チャンネル,JTBえらべるギフト　たびもの撰華「橘コース」,3,※有効期限は2022年10月31までです。,https://www.tabichan.jp/,https://www.tabichan.jp/travelogue/okunohosomichi,上質なグルメやブランド雑貨、家電に加えて、全国の名旅館・ホテルに宿泊など、様々な使い方ができるカタログ式ギフトです。,世界中の魅力溢れる旅の映像をお届けする日本で唯一の旅専門チャンネル。旅チャンネルは、夢に描いていた楽しい場所へのパスポート！海外・温泉・紀行・情報など多彩なジャンルの番組は、知的好奇心を満たし、心を癒すひと時をご提供します。,003.jpg,ch003.png,pr003.png,,
4,p,p04,,囲碁・将棋チャンネル,ダイソンドライヤー（ピンク）,2,,https://www.igoshogi.net/,確認中　解凍したらありそう。囲碁なのか将棋なのか後で精査。,これから囲碁・将棋を覚えたいという方から、より高度なテクニックを知りたいという方まで様々な方が存分にお楽しみいただけます。公式棋戦の囲碁「竜星戦」、将棋「銀河戦」を始め、各種講座、本因坊戦等のメジャー棋戦の棋譜解説などが、一日中楽しめます。,確認中,004.jpg,ch004.png,pr004.png,,
5,p,p05,,CNNｊ,ソーダストリームスターターキット+CNNロゴ入りボトルセット,1,,https://www2.jctv.co.jp/cnnj/,https://www2.jctv.co.jp/cnnj/introduction/?id=14,ご自宅で簡単に楽しく炭酸水が作れ、今人気の「ソーダストリーム」。スターターキットをCNNロゴ入りボトルと共にセットでプレゼント。おうち生活を充実させてください！,世界の最新情報をお届けする24時間国際ニュースと情報専門局。緊急速報はどこよりも早くお伝えします。毎日朝7:00～深夜0:00は日本語同時通訳対応。,005.jpg,ch005.png,pr005.png,,
6,p,p06,,WOWOWプラス,パナソニック コーヒーメーカー(NC-R400),1,,https://www.wowowplus.jp/,https://www.wowowplus.jp/feature/,"こだわりのドリップ方式と、選べる3コースの組み合わせで、淹れ方を変えて好みの味に。
本体内蔵のミルでは、粗挽き・中細挽きの挽き分けも可能。
ドリップコーヒーのバリエーションが広がる、多機能コーヒーメーカー。",WOWOWならではの魅力あふれる番組をお届けします。ヒット作から名作まで、様々な映画を高画質＆途中CMなしで放送。WOWOWオリジナルドラマ、人気アーティストの音楽ライブ、世界最高峰のスポーツも充実。,006.jpg,ch006.png,pr006.png,,
7,p,p07,,ミュージック・エア,3.2インチ 手回し充電ワンセグテレビ,4,,https://www.musicair.co.jp/,確認中　画像有りそう　リンク先　スティービーワンダー,災害時に役立つ！3.2インチ 手回し充電ワンセグテレビ 。スマホの充電も可能。,洋邦トップアーティストのライヴを中心に良質な音楽番組を放送。音楽ライヴ&ドキュメンタリー、海外フェスなど、数多くの魅力的な番組が目白押し！,007.jpg,ch007.png,pr007.png,,
8,p,p08,,ヒストリーチャンネル,Nintendo Switch Lite,3,,https://jp.history.com/,確認中　画像有りそう　リンク先　恐怖の人喰い獣,小さく、軽く、持ち運びやすい。携帯専用の「Nintendo Switch Lite」コントローラーと本体を一体化させることで、小さく、軽く、持ち運びやすくなった携帯専用のNintendo Switchです。,ヒストリーチャンネルは、上質な番組を放送する世界最大で日本唯一の歴史＆エンターテインメント専門チャンネルです。,008.jpg,ch008.png,pr008.png,,
9,p,p09,,GAORA　SPORTS,GARMIN FOREATHLETE55（ブラック）,2,,https://www.gaora.co.jp/,確認中,ForeAthlete 55はトレーニングのガイド機能とランニング機能を備えたフィットネスの目標達成を手助けしてくれるGPSランニングウォッチです。,プロ野球（阪神・北海道日本ハム）・テニス・プロレス・格闘技・モータースポーツ・バレーボール・ゴルフなど、国内外の人気スポーツを徹底放送！,009.jpg,ch009.png,pr009.png,,
10,p,p10,,GAORA　SPORTS,GARMIN FOREATHLETE55（アクア）,2,,https://www.gaora.co.jp/,確認中,ForeAthlete 55はトレーニングのガイド機能とランニング機能を備えたフィットネスの目標達成を手助けしてくれるGPSランニングウォッチです。,プロ野球（阪神・北海道日本ハム）・テニス・プロレス・格闘技・モータースポーツ・バレーボール・ゴルフなど、国内外の人気スポーツを徹底放送！,009.jpg,ch009.png,pr009.png,,
