no,cate,from,prize,hm,etc,url,churl,prizetxt,chtxt,img,chimg,primg,main,sub
1,"家電・調理器具,ケーブルテレビ",ケーブルコモンネット三重,パナソニック　4K　ビエラ（55V型）,1,CCM賞,https://www.com-mie.jp/,,"明るく色鮮やか。映像本来の色を忠実に再現する「色忠実補正回路」
上下左右から音に包まれる迫力の立体音響「Dolby Atmos®(ドルビーアトモス)」
多彩なネット動画が楽しめる",ケーブルコモンネット三重グループ（ZTV・伊賀上野ケーブルテレビ・アドバンスコープ・松阪ケーブルテレビ）のテレビ加入者の方に向けたコミュニティ番組制作や、野球観戦ツアーなどのイベント、プレゼント企画を運営しています。,001.jpg,ch001.png,pr001.png,家電・調理器具,",ケーブルテレビ"
2,"食品,ケーブルテレビ",ZTV,"朝日屋　お肉券（10,000円分）",3,ZTV賞,,,"「朝日屋」は、老舗松阪肉(松阪牛)専門店（三重県津市）。
飼育農家から直接仕入れる高品質の松阪牛や特産松阪牛を
お値打ち価格で販売しています。
すき焼き用やしゃぶしゃぶ用の松阪牛をギフトや全国通販でお楽しみいただけます。
朝日屋　https://asahiya.net/","ZTVは三重県・滋賀県・和歌山県で地域密着のケーブルテレビ局としてサービスを提供しています。
コミュニティチャンネル（11CH、12CH）で地域情報を放送中！！",002.jpg,ch002.png,pr002.png,食品,",ケーブルテレビ"
3,食品,ZTV,キホクニヤ特選セット,6,地域応援賞,,,"あわ美人1袋、サバの水煮・煮付各1袋ずつ、
　　　　　イワシの水煮・煮付各1袋ずつ
・新鮮な蝦夷あわびを丸々1個やわらかく煮た贅沢な一品。
あわび特有の食感をお楽しみください。
・添加物不使用、新鮮な三重県産真さばと真いわしを栄養そのままに凝縮して作りました。
 骨まで丸ごと食べられるためカルシウムも摂取できます。
キホクニヤ商店　https://kihokuniya.com/","ZTVは三重県・滋賀県・和歌山県で地域密着のケーブルテレビ局としてサービスを提供しています。
コミュニティチャンネル（11CH、12CH）で地域情報を放送中！！",003.jpg,ch003.png,pr003.png,食品,",ケーブルテレビ"
4,"食品,ケーブルテレビ",伊賀上野ケーブルテレビ,"金谷　商品券（10,000円分）",3,ICT賞,,https://www.ict.jp/?p=3807,金谷は伊賀の地に誕まれ、はや100年。四代にわたって優れた血統をもつ伊賀牛をさらに改良し、吟味した最高級の伊賀肉を提供しています。寿き焼、バター焼きなど独特の調理方法によって出される伊賀肉は、伊賀に来ないと味わえない一品。その風味は国内外の食通はもちろん、広く文人墨客から絶賛されています。,"伊賀上野ケーブルテレビでは、『スマートチューナー』サービスを好評受付中！
多チャンネルも！ネット動画も！４K放送も！ぜんぶおまかせ、多機能ケーブルテレビチューナーです。
お申し込み・お問い合わせはお気軽に伊賀上野ケーブルテレビまでご連絡ください。",004.jpg,ch004.png,pr004.png,食品,",ケーブルテレビ"
5,食品,伊賀上野ケーブルテレビ,伊賀名産特選セット,10,地域応援賞,,https://www.ict.jp/?p=3807,"伊賀を代表する地元の名産品を集めました。伊賀で作られた秘蔵の味をご家庭でお楽しみください。
　　・伊賀越　詰合せ
　　・はさめず醤油 こいいろ 900ml
　　・伊賀産菜種油「七の花」 エクストラバージン 184g","伊賀上野ケーブルテレビでは、『スマートチューナー』サービスを好評受付中！
多チャンネルも！ネット動画も！４K放送も！ぜんぶおまかせ、多機能ケーブルテレビチューナーです。
お申し込み・お問い合わせはお気軽に伊賀上野ケーブルテレビまでご連絡ください。",005.jpg,ch005.png,pr005.png,食品,",ケーブルテレビ"
6,"食品,ケーブルテレビ",松阪ケーブルテレビ,"七輪焼肉　炭や　商品券（5,000円分）",6,MCTV賞,,https://www.mctv.jp/html/net_ott.php,炭火を使うことで上質な肉の旨みをさらに引き出す七輪焼肉 炭や。カラッと香ばしく焼きあがりながらも噛んだ瞬間にあふれ出る肉汁をお楽しみいただけます。,"松阪ケーブルテレビは、松阪市、志摩市、明和町、多気町、大台町、大紀町の２市４町をエリアとし、今年11月で設立30周年を迎えます。地域の皆さんの生活の中で、なくてはならないケーブルテレビ局を目指してサービスを提供しています。
テレビ、インターネット、電話、スマートフォン。そして、この夏始まったネット動画まとめ払いサービスが大好評！ネット動画はぜひ「ケーブルプラスＳＴＢ－２」でご覧ください。",006.jpg,ch006.png,pr006.png,食品,",ケーブルテレビ"
7,食品,松阪ケーブルテレビ,大洋丸　三重県紀州産　養殖真鯛（三枚おろし）,6,地域応援賞,,https://www.mctv.jp/html/net_ott.php,大洋丸は、大紀町錦で50年以上鯛の養殖業を営んでいます。熊野灘錦で育てられた鯛をお届けします。,"松阪ケーブルテレビは、松阪市、志摩市、明和町、多気町、大台町、大紀町の２市４町をエリアとし、今年11月で設立30周年を迎えます。地域の皆さんの生活の中で、なくてはならないケーブルテレビ局を目指してサービスを提供しています。
テレビ、インターネット、電話、スマートフォン。そして、この夏始まったネット動画まとめ払いサービスが大好評！ネット動画はぜひ「ケーブルプラスＳＴＢ－２」でご覧ください。",007.jpg,ch007.png,pr007.png,食品,",ケーブルテレビ"
8,ホビー・リラックス,旅チャンネル,JTBえらべるギフト　たびもの撰華　橘コース（5万円相当）,3,カタログ式ギフトの有効期限は2021年9月末までです。,https://www.tabichan.jp/,https://www.tabichan.jp/travelogue/aruke_matsuken,"世界各国のグルメ、家電やグッズに加えて、全国の名旅館・ホテルへのご宿泊など、金額5万円相当の様々な商品を選べる人気のカタログ式ギフトです。（カタログ有効期限：2021年9月末日）
＜注意事項＞
▽画像はイメージで、カタログ掲載の商品や宿泊施設の一例です。
▽宿泊に関して
●1 組2 名様で1 泊頂けるご宿泊が中心です。
●食事条件などの詳細は、当選者にお送りする冊子に記載します。
●適用除外日や繁忙期等の空室状況により、ご希望の日程に宿泊できない場合があります。
●交通費は当選者様のご負担となります。","世界中の魅力溢れる旅の映像をお届けする、日本で唯一の「旅」専門チャンネルです。お茶の間に居ながら旅気分を満喫できる、人気のチャンネルです。
■おすすめ番組：「歩け！マツケン～松平健の諸国漫遊～」
俳優 松平健が日本各地を訪ね、地元ケーブルテレビ局スタッフが案内する“街のおすすめスポット”を一緒に歩きます。街ぶら旅を通して、その街の魅力を発見する、「旅チャンネル」のオリジナル番組。街の人々のふれあいからにじみでる健さんの実直な人柄と、意外にお茶目なふるまいなど、「旅チャンネル」でしか見られない映像をお楽しみください。（放送日時：毎週日曜午前11：30～他）
写真TM & ⓒ 2020 Turner Japan.",008.jpg,ch008.png,pr008.png,ホビー・リラックス,
9,キッズ,フジテレビONE・TWO・NEXT,Nintendo Switch,1,,,,,,009.jpg,ch009.png,pr009.png,キッズ,
10,キッズ,スターチャンネル,Nintendo Switch Lite,1,,https://www.star-ch.jp/,,コントローラーと本体を一体化させることで、小さく、軽く、持ち運びやすくなった携帯専用のNintendo Switch,"映画を愛するすべての人のための「映画エンターテインメントサービス」。
最新メガヒット作から不朽の名作まで豊富な映画ラインナップと特集企画、そして独占日本初放送の海外ドラマを、
日本唯一の吹替専門チャンネルを含む3つのチャンネルとオンデマンドでお楽しみいただけます。",010.jpg,ch010.png,pr010.png,キッズ,
