no,cate,from,prize,hm,etc,img,sub
1,家電・調理器具,ケーブルコモンネット三重,パナソニック　ビエラ,1,CCM賞,001.jpg,ケーブルテレビ
2,食品,ZTV,"朝日屋　お肉券（10,000円分）",3,ZTV賞,002.jpg,ケーブルテレビ
3,食品,ZTV,キホクニヤ特選セット,6,地域応援賞,003.jpg,
4,食品,伊賀上野ケーブルテレビ,"金谷商品券（10,000円分）",3,ICT賞,004.jpg,ケーブルテレビ
5,食品,伊賀上野ケーブルテレビ,IGAMONO詰合せ,10,地域応援賞,005.jpg,
6,食品,松阪ケーブルテレビ,"七輪焼肉　炭や　お食事券（5,000円分）",6,MCTV賞,006.jpg,ケーブルテレビ
7,食品,松阪ケーブルテレビ,"「大洋丸」鯛の切り身（5,000円分）",6,地域応援賞,007.jpg,
8,ホビー・リラックス,旅チャンネル,JTB　えらべるギフト,3,カタログ式ギフトの有効期限は2021年9月末までです。,008.jpg,
9,キッズ,フジテレビONE・TWO・NEXT,あつ森セット,1,,009.jpg,
10,キッズ,スターチャンネル,Nintendo Switch Lite,1,,010.jpg,
11,家電・調理器具,囲碁・将棋チャンネル,ダイソン　ドライヤー（B、P）,3,色は選べません,011.jpg,
12,家電・調理器具,女性チャンネル♪LaLaTV,レコルト　Home BBQ,1,,012.jpg,
13,家電・調理器具,シネフィルWOWOW,パナソニック　コーヒーメーカー,1,,013.jpg,
14,アウトドア・スポーツ,J SPORTS,ノースフェイス　PRE-HAB,1,,014.jpg,
15,アウトドア・スポーツ,スカイA,TOUR B　ボールギフトセット,3,,015.jpg,
16,ホビー・リラックス,ミュージック・エア,YAMAHA　トールボーイスピーカー,1,,016.jpg,
17,家電・調理器具,CNNｊ,タニタ　体組成計,3,,017.jpg,
18,家電・調理器具,日経CNBC,オリジナルペアタンブラー,2,,018.jpg,
19,キッズ,アニマックス,ふわふわぬいぐるみ S まる子,3,© さくらプロダクション / 日本アニメーション,019.jpg,
20,キッズ,テレ朝チャンネル1.2,ドラえもん野球盤＆ぬいぐるみ,2,©藤子プロ・小学館・テレビ朝日・シンエイ・ＡＤＫ,020.jpg,
21,キッズ,キッズステーション,アンパンマン カラフルおでかけ砂場セット,3,©やなせたかし／フレーベル館・TMS・NTV,021.jpg,
22,家電・調理器具,チャンネル銀河,Panasonic　衣類スチーマー,1,ガイド誌掲載,022.jpg,WEB限定
23,家電・調理器具,アジアドラマチックTV,ヴィダル サスーン　ヘアドライヤー,3,ガイド誌掲載,023.jpg,WEB限定
24,家電・調理器具,Ｖ☆パラダイス,ツインバード　コードレス　ハンディクリーナー,1,,024.jpg,WEB限定
25,家電・調理器具,ショップチャンネル,クーンリコン　調理補助鍋ユニバーサルポット,1,,025.jpg,WEB限定
26,家電・調理器具,ファミリー劇場,アイリスオーヤマ　炊飯器5.5合炊き,1,ガイド誌掲載,026.jpg,WEB限定
27,家電・調理器具,映画・チャンネルNECO,マキタ　充電式クリーナー,1,,027.jpg,WEB限定
28,家電・調理器具,日テレG+,ロゴ入りサーモス真空断熱タンブラー,3,,028.jpg,WEB限定
29,アウトドア・スポーツ,ディスカバリーチャンネル,パタゴニア製リュック,1,,029.jpg,WEB限定
30,アウトドア・スポーツ,アニマルプラネット,アニマルプラネット　ゴ入りサンシェード,3,,030.jpg,WEB限定
31,アウトドア・スポーツ,GAORA　SPORTS,ＧＡＯＲＡ特製ヨガマット,3,,031.jpg,WEB限定
32,アウトドア・スポーツ,釣りビジョン,オリジナル　ライフジャケット（ショルダータイプ）,3,,032.jpg,WEB限定
33,ホビー・リラックス,ムービープラス,ルルド　マッサージクッション,1,,033.jpg,WEB限定
34,ホビー・リラックス,MUSIC　ON! TV（エムオン！）,ソニー　ワイヤレスポータブルスピーカー,3,,034.jpg,WEB限定
35,ホビー・リラックス,AXN（ソニー・ピクチャーズ エンターテインメント）,ソニー　ワイヤレスヘッドセット,3,ガイド誌掲載,035.jpg,WEB限定
36,ホビー・リラックス,スーパー！ドラマTV,ヒポポタマス　バスタオル,2,2枚1セット,036.jpg,WEB限定
37,ホビー・リラックス,MONDO　TV　,ANKER　Bluetoothコンパクトスピーカー,3,,037.jpg,WEB限定
38,ホビー・リラックス,MTV,SHURE　ワイヤレスイヤフォン,1,,038.jpg,WEB限定
39,ホビー・リラックス,歌謡ポップスチャンネル,カラオケ1番,1,ガイド誌掲載,039.jpg,WEB限定
40,キッズ,カートゥーンネットワーク,「ぼくらベアベアーズ」ぬいぐるみセット,3,,040.jpg,WEB限定
